R,BER_amp,BER_ldpc,BER_ldpc_amp,BER_sparc
0.2,0.0,0.0,0.0,0.0
0.3,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0
0.5,0.0009765625,0.0,0.0,0.0006510416666666666
0.6,0.007052951388888889,0.0018446180555555555,0.0018446180555555555,0.0010850694444444445
R,BER_amp,BER_ldpc,BER_ldpc_amp,BER_sparc
0.2,0.0,0.0,0.0,0.0
0.3,0.0,0.0,0.0,0.0
0.4,0.00010091145833333333,2.387152777777778e-05,2.387152777777778e-05,1.3020833333333332e-05
0.5,0.0011480034722222221,0.0003298611111111111,0.00030815972222222225,0.00023763020833333332
0.6,0.005326605902777777,0.001474609375,0.0011263020833333333,0.0017144097222222222
0.7,0.029302300347222227,0.011577690972222223,0.009122178819444444,0.006830512152777778
